symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
CRV,1000,500,4615,4210,1,17.0701,27.3926,70.0019,131.673,217.121,20.821,83.0754,168.615,0.63658,-38.5828,-31.2991,-22.8694,0.00831354,-35.3303,-25.6234,-13.8939,0.0344418,-32.1191,-19.7495,-4.58221,0.0788599
CRV,10000,10,4615,4609,1,21.94,35.4923,7.41748,22.3464,38.2348,-43.8255,-32.6379,-22.5021,0.0219136,-54.3227,-45.2762,-41.3894,0,-53.5963,-44.7269,-40.795,0.000216967,-52.8436,-44.3097,-40.0362,0.000216967
CRV,10000,50,4615,4574,1,21.94,35.4923,22.7359,43.5749,73.3308,-32.6101,-13.4904,12.2916,0.149978,-52.4323,-43.9745,-39.9576,0,-50.8382,-42.8489,-38.361,0,-49.387,-41.5925,-36.4302,0.000437254
CRV,10000,100,4615,4544,1,21.94,35.4923,33.4596,61.6723,99.0208,-24.4518,3.19706,37.2394,0.268706,-51.0035,-42.9254,-38.5568,0,-48.896,-41.2817,-35.8359,0.000440141,-46.9556,-39.4373,-32.92,0.0022007
CRV,10000,500,4615,4210,1,21.94,35.4923,70.0019,131.673,217.121,11.5127,72.302,154.927,0.576722,-45.8946,-38.5969,-31.7726,0.00261283,-42.7437,-33.8853,-23.764,0.0159145,-39.6254,-28.7403,-14.827,0.04038
CRV,100000,10,4615,1540,0.333694,37.3375,61.0951,7.41748,22.3464,38.2348,-51.346,-40.5119,-34.0771,0.00909091,-55.3538,-53.442,-51.8147,0,-55.0014,-52.9361,-50.9799,0,-54.6729,-52.4166,-50.0143,0
CRV,100000,50,4615,1534,0.333694,37.3375,61.0951,22.7359,43.5749,73.3308,-39.5886,-25.2594,-8.08457,0.0691004,-54.4134,-52.2128,-49.9505,0,-53.6762,-51.136,-47.8783,0,-52.9444,-49.9378,-45.6685,0
CRV,100000,100,4615,1531,0.333694,37.3375,61.0951,33.4596,61.6723,99.0208,-33.8684,-13.6638,11.7939,0.15676,-53.6953,-51.2369,-48.586,0,-52.6408,-49.4724,-45.899,0,-51.6119,-47.5619,-42.8802,0
CRV,100000,500,4615,1491,0.333694,37.3375,61.0951,70.0019,131.673,217.121,-4.07288,36.8125,95.9737,0.462777,-51.1653,-46.7882,-41.0377,0.000670691,-48.7162,-42.3059,-33.5149,0.00469484,-46.1588,-37.6787,-26.2531,0.017438
DOGE,1000,10,4738,4731,1,2.77217,4.11117,6.85754,13.8839,24.1222,-10.4779,-3.87833,6.72222,0.176495,-16.6937,-15.3745,-13.948,0.000211372,-16.2935,-14.7882,-13.0768,0.00105686,-15.9465,-14.2032,-12.1361,0.00232509
DOGE,1000,50,4738,4696,1,2.77217,4.11117,14.857,31.5379,55.6188,-2.58079,13.4466,37.0792,0.445273,-15.7207,-13.9346,-11.7116,0.00425894,-15.006,-12.5688,-9.24902,0.0132027,-14.289,-11.1636,-6.75954,0.0325809
DOGE,1000,100,4738,4647,1,2.77217,4.11117,21.5374,44.1882,77.7387,4.10211,26.0137,58.8948,0.582096,-15.0695,-12.8483,-9.79516,0.0114052,-14.0197,-10.8832,-6.1119,0.0374435,-12.988,-8.84243,-2.38731,0.0733807
DOGE,1000,500,4738,4313,1,2.77217,4.11117,45.939,96.1859,179.633,28.4936,78.4912,161.668,0.780663,-12.6965,-8.11662,-0.051949,0.099003,-10.4372,-3.3954,8.55221,0.188732,-8.19497,1.39018,17.6979,0.275446
DOGE,10000,10,4738,4731,1,3.64271,4.9797,6.85754,13.8839,24.1222,-12.1232,-5.76246,3.9628,0.149228,-18.2359,-16.9598,-15.9343,0,-17.772,-16.4412,-15.1987,0.000422744,-17.3852,-15.9498,-14.297,0.00126823
DOGE,10000,50,4738,4696,1,3.64271,4.9797,14.857,31.5379,55.6188,-4.18311,11.7085,35.2947,0.414608,-17.2377,-15.6841,-13.8442,0.00234242,-16.5275,-14.4255,-11.3739,0.00915673,-15.8508,-13.0613,-8.80383,0.0206559
DOGE,10000,100,4738,4647,1,3.64271,4.9797,21.5374,44.1882,77.7387,2.43967,24.4191,56.9162,0.548096,-16.588,-14.695,-11.9761,0.00753174,-15.6033,-12.6705,-8.39355,0.027975,-14.6107,-10.6955,-4.59586,0.0589628
DOGE,10000,500,4738,4313,1,3.64271,4.9797,45.939,96.1859,179.633,26.9281,76.6681,159.233,0.763506,-14.2252,-9.71073,-2.28208,0.0783677,-12.0535,-5.14462,6.49406,0.160677,-9.84347,-0.380024,15.4961,0.243914
DOGE,100000,10,4738,4252,0.898902,5.12349,7.53361,6.85754,13.8839,24.1222,-14.3817,-8.37203,0.80353,0.110301,-20.6546,-18.1616,-17.0951,0,-20.0508,-17.7606,-16.6239,0,-19.4987,-17.3681,-16.0498,0.000235183
DOGE,100000,50,4738,4225,0.898902,5.12349,7.53361,14.857,31.5379,55.6188,-6.70757,8.09402,31.0152,0.35929,-19.2854,-17.2082,-15.6734,0.000946746,-18.3161,-16.2316,-13.6818,0.00615385,-17.6895,-15.0545,-11.3494,0.0125444
DOGE,100000,100,4738,4182,0.898902,5.12349,7.53361,21.5374,44.1882,77.7387,-0.295385,20.4484,51.9011,0.494261,-18.4031,-16.376,-13.9365,0.00382592,-17.3965,-14.7516,-10.8125,0.0141081,-16.5643,-12.9057,-7.36886,0.0396939
DOGE,100000,500,4738,3889,0.898902,5.12349,7.53361,45.939,96.1859,179.633,23.3538,71.3822,149.699,0.73515,-16.0699,-12.1055,-5.52075,0.0570841,-14.0513,-7.66779,2.67701,0.122139,-12.0622,-3.28477,10.7741,0.192852
ENA,1000,10,5518,5511,1,2.42894,4.49597,9.73494,18.9897,33.1976,-7.25862,1.89819,15.8924,0.283615,-15.5808,-13.6891,-12.154,0,-15.0373,-13.0031,-11.0595,0.00108873,-14.4863,-12.32,-9.79439,0.0052622
ENA,1000,50,5518,5480,1,2.42894,4.49597,22.6566,44.1393,73.0466,5.5275,26.8114,54.7131,0.606204,-14.1861,-11.8378,-9.10043,0.00675182,-13.0897,-9.97082,-5.79036,0.0319343,-12.0926,-7.99993,-2.41638,0.070438
