symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
PUMP,500,2026-03,439,0.011389521640091117,0.023255813953488372,0.2,2.041860465116279,0.7705069124423963,682.5972973965719,1383.7684351492794,2169.5512251090486
SOL,10,2026-02,1555,0.01864951768488746,0.04516129032258064,0.2413793103448276,2.421579532814238,0.6470149590997424,51.9668184404448,115.84178392085464,643.3356214176034
SOL,10,2026-03,1192,0.009228187919463088,0.05042016806722689,0.5454545454545454,5.463712757830405,0.7186513740281734,50.91322571388446,268.17524087524953,1141.6603111546337
SOL,50,2026-02,1546,0.02328589909443726,0.11038961038961038,0.4722222222222222,4.74062049062049,0.7814201618837381,121.27301739951677,564.9093512435244,3119.106632223174
SOL,50,2026-03,1186,0.011804384485666104,0.01694915254237288,0.14285714285714285,1.4358353510895885,0.6858849341784495,101.5273731813501,135.77659151704748,575.1108483543511
SOL,100,2026-02,1540,0.024675324675324677,0.08441558441558442,0.34210526315789475,3.4210526315789473,0.7600042049197561,169.38154554485396,569.463182127132,3132.047501699226
SOL,100,2026-03,1181,0.011854360711261643,0.05084745762711865,0.42857142857142855,4.289346246973365,0.8105031215571061,135.88300979336134,572.8492780845995,2416.196419349686
SOL,500,2026-02,1484,0.018867924528301886,0.05405405405405406,0.2857142857142857,2.864864864864865,0.6267660910518054,374.41339069022644,1062.6437679233513,5632.011969993762
SOL,500,2026-03,1131,0.014146772767462422,0.02654867256637168,0.1875,1.8766592920353984,0.6414798206278027,349.2936098069925,645.5050984928793,2607.3795228408803
SUI,10,2026-02,618,0.030744336569579287,0.09836065573770492,0.3157894736842105,3.199309749784297,0.6762147438713645,107.62463264415456,334.324536535397,737.9020127816976
SUI,10,2026-03,475,0.018947368421052633,0.0425531914893617,0.2222222222222222,2.2458628841607564,0.8328564616118264,95.41633289902367,204.29200060064417,346.5667867332357
SUI,50,2026-02,610,0.029508196721311476,0.11475409836065574,0.3888888888888889,3.888888888888889,0.7236298798798799,204.29499832163066,784.4805490285637,1709.0469103836565
SUI,50,2026-03,467,0.023554603854389723,0.06521739130434782,0.2727272727272727,2.768774703557312,0.6253987240829346,200.1863191021999,544.2708163284229,907.7659686620482
SUI,100,2026-02,601,0.026622296173044926,0.11666666666666667,0.4375,4.382291666666666,0.7148504273504273,276.68375954220886,1202.5089337438255,2581.099532785854
SUI,100,2026-03,460,0.013043478260869565,0.021739130434782608,0.16666666666666666,1.6666666666666667,0.2834067547723935,271.4867311078719,442.4778851797865,726.9279542239349
SUI,500,2026-02,545,0.011009174311926606,0.0,0.0,0.0,0.46660482374768086,580.6675353278473,-10.0,-19.464285714285715
SUI,500,2026-03,410,0.00975609756097561,0.0,0.0,0.0,0.5455665024630543,590.2336139547513,-10.0,-14.642857142857142
UNI,10,2026-02,557,0.017953321364452424,0.09090909090909091,0.5,5.0636363636363635,0.6842778793418648,99.68325080990348,494.7597336465113,984.21847014681
UNI,10,2026-03,473,0.012684989429175475,0.0,0.0,0.0,0.5895788722341184,95.71553372855571,-10.0,-16.892857142857142
UNI,50,2026-02,556,0.023381294964028777,0.09090909090909091,0.38461538461538464,3.8881118881118883,0.6542003116588753,238.93901506408665,919.0216250044209,1824.9143696516358
UNI,50,2026-03,468,0.004273504273504274,0.0,0.0,0.0,0.6212446351931331,217.10879169404507,-10.0,-16.714285714285715
UNI,100,2026-02,547,0.014625228519195612,0.1111111111111111,0.75,7.597222222222221,0.8545918367346939,562.4866067773848,4263.335748711521,8328.730909090007
UNI,100,2026-03,465,0.0064516129032258064,0.021739130434782608,0.3333333333333333,3.369565217391304,0.829004329004329,275.97503207895744,919.9158689617044,1527.7174252399734
UNI,500,2026-02,491,0.028513238289205704,0.12244897959183673,0.42857142857142855,4.294460641399416,0.7319556753519018,1103.958302446534,4730.905479602753,8295.980680303399
UNI,500,2026-03,415,0.0,0.0,,,,,,
WLFI,10,2026-02,585,0.037606837606837605,0.05172413793103448,0.13636363636363635,1.3753918495297806,0.4727918617794284,120.09216855734493,155.1737898261288,324.2023823153048
WLFI,10,2026-03,476,0.0021008403361344537,0.0,0.0,0.0,0.18947368421052635,268.61119782552123,-10.0,-17.0
WLFI,50,2026-02,581,0.03270223752151463,0.034482758620689655,0.10526315789473684,1.0544464609800361,0.46928263719797714,251.32922559422653,255.0132124686853,529.152415872522
WLFI,50,2026-03,470,0.002127659574468085,0.0,0.0,0.0,0.15991471215351816,217.51246260919288,-10.0,-16.785714285714285
WLFI,100,2026-02,570,0.02631578947368421,0.017543859649122806,0.06666666666666667,0.6666666666666666,0.6393993993993994,359.9374348474765,229.95828989831764,468.12937586443235
WLFI,100,2026-03,466,0.004291845493562232,0.0,0.0,0.0,0.4073275862068966,295.9476830733354,-10.0,-16.642857142857142
WLFI,500,2026-02,514,0.029182879377431907,0.0392156862745098,0.13333333333333333,1.3437908496732025,0.5084836339345358,750.2957327160423,998.2405401726685,1832.484420174113
WLFI,500,2026-03,416,0.007211538461538462,0.0,0.0,0.0,0.17756255044390637,524.2490582168099,-10.0,-14.857142857142858
XPL,10,2026-02,542,0.02214022140221402,0.037037037037037035,0.16666666666666666,1.6728395061728396,0.6154088050314466,158.3529308360691,254.89903862083167,493.4117104731813
XPL,10,2026-03,471,0.02335456475583864,0.02127659574468085,0.09090909090909091,0.9110251450676983,0.6270750988142292,125.37431167650291,104.21915048284889,175.31149956222083
XPL,50,2026-02,537,0.024208566108007448,0.03773584905660377,0.15384615384615385,1.5587808417997098,0.47842043452730476,327.7786600385578,500.935095618884,960.7219512405024
XPL,50,2026-03,467,0.008565310492505354,0.0,0.0,0.0,0.74622030237581,248.04983026115224,-10.0,-16.678571428571427
XPL,100,2026-02,530,0.018867924528301886,0.05660377358490566,0.3,3.0,0.7140384615384615,411.8002651084678,1225.4007953254034,2319.5086482945135
XPL,100,2026-03,459,0.013071895424836602,0.022222222222222223,0.16666666666666666,1.7,0.6074319352465047,427.42124661648063,716.6161192480171,1174.7385669101423
XPL,500,2026-02,474,0.016877637130801686,0.0,0.0,0.0,0.25563304721030045,878.0403237688021,-10.0,-16.928571428571427
XPL,500,2026-03,409,0.022004889975550123,0.0,0.0,0.0,0.36361111111111105,837.7354718848229,-10.0,-14.607142857142858
